obsnme,obsval,weight,obgnme,oname,otype,usecol,time,i,j,totim
str_012_200007,4.9300000E+00,2.810726752,str_012,,,,,,,
str_012_200008,3.5600000E+00,2.810726752,str_012,,,,,,,
str_012_200009,3.8500000E+00,2.810726752,str_012,,,,,,,
str_012_200010,3.5900000E+00,2.810726752,str_012,,,,,,,
str_012_200011,2.5100000E+00,2.810726752,str_012,,,,,,,
str_012_200012,1.9900000E+00,2.810726752,str_012,,,,,,,
str_012_200101,1.9400000E+00,2.810726752,str_012,,,,,,,
str_012_200102,1.4000000E+00,2.810726752,str_012,,,,,,,
str_012_200103,1.6000000E+00,2.810726752,str_012,,,,,,,
str_012_200104,4.9700000E+00,2.810726752,str_012,,,,,,,
str_012_200105,2.8220000E+01,2.810726752,str_012,,,,,,,
str_012_200106,2.9850000E+01,2.810726752,str_012,,,,,,,
str_012_200107,1.1360000E+01,2.810726752,str_012,,,,,,,
str_012_200108,6.5900000E+00,2.810726752,str_012,,,,,,,
str_012_200109,2.7600000E+00,2.810726752,str_012,,,,,,,
str_012_200110,2.1500000E+00,2.810726752,str_012,,,,,,,
str_012_200111,1.3300000E+00,2.810726752,str_012,,,,,,,
str_012_200112,1.4200000E+00,2.810726752,str_012,,,,,,,
str_012_200201,1.4000000E+00,2.810726752,str_012,,,,,,,
str_012_200202,1.3300000E+00,2.810726752,str_012,,,,,,,
str_012_200203,1.6400000E+00,2.810726752,str_012,,,,,,,
str_012_200204,5.0500000E+00,2.810726752,str_012,,,,,,,
str_012_200205,9.6700000E+00,2.810726752,str_012,,,,,,,
str_012_200206,6.5600000E+00,2.810726752,str_012,,,,,,,
str_012_200207,2.3500000E+00,2.810726752,str_012,,,,,,,
str_012_200208,2.0000000E+00,2.810726752,str_012,,,,,,,
str_012_200209,3.7500000E+00,2.810726752,str_012,,,,,,,
str_012_200210,3.4500000E+00,2.810726752,str_012,,,,,,,
str_012_200211,2.3300000E+00,2.810726752,str_012,,,,,,,
str_012_200212,1.6600000E+00,2.810726752,str_012,,,,,,,
str_012_200301,1.5900000E+00,2.810726752,str_012,,,,,,,
str_012_200302,1.1600000E+00,2.810726752,str_012,,,,,,,
str_012_200303,1.4000000E+00,2.810726752,str_012,,,,,,,
str_012_200304,3.9000000E+00,2.810726752,str_012,,,,,,,
str_012_200305,2.3070000E+01,2.810726752,str_012,,,,,,,
str_012_200306,1.8710000E+01,2.810726752,str_012,,,,,,,
str_012_200307,5.7300000E+00,2.810726752,str_012,,,,,,,
str_012_200308,4.1200000E+00,2.810726752,str_012,,,,,,,
str_012_200309,6.1600000E+00,2.810726752,str_012,,,,,,,
str_012_200310,2.9500000E+00,2.810726752,str_012,,,,,,,
str_012_200311,2.0400000E+00,2.810726752,str_012,,,,,,,
str_012_200312,1.5000000E+00,2.810726752,str_012,,,,,,,
str_012_200401,1.2700000E+00,2.810726752,str_012,,,,,,,
str_012_200402,1.3100000E+00,2.810726752,str_012,,,,,,,
str_012_200403,3.2900000E+00,2.810726752,str_012,,,,,,,
str_012_200404,5.6700000E+00,2.810726752,str_012,,,,,,,
str_012_200405,2.1940000E+01,2.810726752,str_012,,,,,,,
str_012_200406,2.4820000E+01,2.810726752,str_012,,,,,,,
str_012_200407,1.0320000E+01,2.810726752,str_012,,,,,,,
str_012_200408,3.2000000E+00,2.810726752,str_012,,,,,,,
str_012_200409,7.6400000E+00,2.810726752,str_012,,,,,,,
str_012_200410,4.8700000E+00,2.810726752,str_012,,,,,,,
str_012_200411,3.0300000E+00,2.810726752,str_012,,,,,,,
str_012_200412,2.4200000E+00,2.810726752,str_012,,,,,,,
str_012_200501,2.2600000E+00,2.810726752,str_012,,,,,,,
str_012_200502,2.2500000E+00,2.810726752,str_012,,,,,,,
str_012_200503,2.4500000E+00,2.810726752,str_012,,,,,,,
str_012_200504,5.2900000E+00,2.810726752,str_012,,,,,,,
str_012_200505,2.7440000E+01,2.810726752,str_012,,,,,,,
str_012_200506,3.5740000E+01,2.810726752,str_012,,,,,,,
str_012_200507,1.6720000E+01,2.810726752,str_012,,,,,,,
str_012_200508,6.7700000E+00,2.810726752,str_012,,,,,,,
str_012_200509,3.8500000E+00,2.810726752,str_012,,,,,,,
str_012_200510,6.3700000E+00,2.810726752,str_012,,,,,,,
str_012_200511,2.6700000E+00,2.810726752,str_012,,,,,,,
str_012_200512,1.9300000E+00,2.810726752,str_012,,,,,,,
str_012_200601,1.8700000E+00,2.810726752,str_012,,,,,,,
str_012_200602,1.8000000E+00,2.810726752,str_012,,,,,,,
str_012_200603,2.3300000E+00,2.810726752,str_012,,,,,,,
str_012_200604,6.6300000E+00,2.810726752,str_012,,,,,,,
str_012_200605,2.2350000E+01,2.810726752,str_012,,,,,,,
str_012_200606,2.0950000E+01,2.810726752,str_012,,,,,,,
str_012_200607,7.6700000E+00,2.810726752,str_012,,,,,,,
str_012_200608,6.4900000E+00,2.810726752,str_012,,,,,,,
str_012_200609,4.8800000E+00,2.810726752,str_012,,,,,,,
str_012_200610,1.2010000E+01,2.810726752,str_012,,,,,,,
str_012_200611,3.3600000E+00,2.810726752,str_012,,,,,,,
str_012_200612,2.1300000E+00,2.810726752,str_012,,,,,,,
str_012_200701,1.7100000E+00,2.810726752,str_012,,,,,,,
str_012_200702,1.6600000E+00,2.810726752,str_012,,,,,,,
str_012_200703,2.9800000E+00,2.810726752,str_012,,,,,,,
str_012_200704,4.9600000E+00,2.810726752,str_012,,,,,,,
str_012_200705,2.2450000E+01,2.810726752,str_012,,,,,,,
str_012_200706,3.3210000E+01,2.810726752,str_012,,,,,,,
str_012_200707,1.0580000E+01,2.810726752,str_012,,,,,,,
