name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
M075_LK_199303,3819.38,83.6546,3581.39,4047.96,3903.03,3735.72,599.408,115.224,294.738,879.171,714.632,484.185,2702.22
M075_LK_199305,7486.48,86.6246,7273.08,7731.63,7573.1,7399.85,815.368,165.857,463.163,1271.98,981.225,649.511,6001.1
M075_LK_199309,7764.33,90.1826,7525.25,8009.85,7854.51,7674.14,460.328,98.6765,246.951,711.187,559.004,361.651,6814.07
M075_LK_199411,3263.35,85.8869,3064.38,3504.57,3349.24,3177.46,462.217,93.5158,268.935,721.602,555.733,368.701,2342.78
M075_LK_199501,2421.62,75.854,2235.45,2614.42,2497.48,2345.77,452.4,97.8075,243.901,724.051,550.207,354.592,1511.4
M075_LK_199502,3566.89,90.9479,3312.49,3847.47,3657.84,3475.94,575.747,108.768,340.291,842.609,684.515,466.978,2469.88
M075_LK_199504,3652.09,86.9487,3431.54,3847.16,3739.04,3565.15,597.772,116.213,325.815,924.565,713.985,481.56,2506.98
M075_LK_199505,4360.77,88.0637,4144.56,4594.11,4448.84,4272.71,616.634,136.85,341.471,941.339,753.484,479.785,3203.22
M075_LK_199506,12707,82.3999,12486.7,12927.6,12789.4,12624.6,1152.3,242.864,626.779,1757.27,1395.16,909.435,10729.4
M075_LK_199508,4320.09,81.5594,4123.72,4512.85,4401.64,4238.53,728.56,177.285,379.502,1242.98,905.846,551.275,2880.75
M075_LK_199509,2921.26,87.8969,2703.18,3160.44,3009.16,2833.36,676.004,165.734,372.245,1219.37,841.738,510.27,1483.8
M075_LK_199510,3387.13,89.075,3061.41,3606.73,3476.21,3298.06,662.792,155.346,356.606,1167.09,818.138,507.446,1894.33
M075_LK_199512,2155.52,91.5528,1926.83,2367.19,2247.07,2063.97,631.909,151.56,323.046,1128.18,783.469,480.349,798.648
M075_LK_199601,1960.94,85.805,1744.2,2155.69,2046.75,1875.14,630.771,154.108,332.091,1149.45,784.879,476.662,594.746
M075_LK_199604,1458.91,81.0569,1259.13,1670.5,1539.97,1377.86,594.901,152.343,312.473,1134.33,747.244,442.557,124.804
M075_LK_199610,3976.11,95.5472,3752.95,4221.75,4071.65,3880.56,772.459,195.632,412.826,1431.02,968.091,576.827,2321.93
M075_LK_199702,2435.16,88.2807,2201.52,2665.08,2523.44,2346.88,705.169,176.397,413.128,1219.3,881.567,528.772,982.224
M075_LK_199805,7829.41,89.8636,7629.2,8049.69,7919.28,7739.55,3300.51,1042,1550.23,5518.95,4342.51,2258.5,2110.25
M075_LK_199906,10600.1,83.7136,10388.4,10873.1,10683.8,10516.4,2582.81,548.567,1331.13,4051.19,3131.38,2034.24,6337.21
M075_LK_199907,10007.6,84.6202,9807.56,10297.3,10092.2,9922.96,2482.04,585.863,1218.97,4077.16,3067.91,1896.18,5730.4
M075_LK_199908,9281.55,85.1463,9112.3,9467.93,9366.69,9196.4,2566.27,626.214,1331.34,4132.36,3192.49,1940.06,4979.94
M075_LK_200011,2622.68,85.467,2385.11,2883.03,2708.15,2537.22,781.775,210.295,456.304,1276.17,992.07,571.48,1108.94
M075_LK_200103,2622.71,91.6337,2368.65,2830.98,2714.34,2531.08,853.337,153.008,568.651,1257.34,1006.35,700.329,1111.31
M075_LK_200104,3631.38,77.9652,3432.31,3830.98,3709.35,3553.42,812.108,140.352,520.579,1274.18,952.459,671.756,2158.13
M075_LK_200108,2681.38,85.0415,2470.25,2926.71,2766.43,2596.34,907.399,281.192,519.278,1592.52,1188.59,626.206,877.725
