name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
STR_057_199410,14.4113,0.839896,12.1788,16.7565,15.2511,13.5714,7.27477,0.014018,7.244,7.339,7.28879,7.26075,4.83975
STR_057_199411,12.8502,0.813745,10.7972,15.1948,13.6639,12.0364,7.68841,0.0125457,7.66,7.742,7.70096,7.67587,3.05517
STR_057_199412,9.48734,0.781419,7.59214,11.6627,10.2688,8.70592,5.93963,0.0107242,5.912,5.965,5.95036,5.92891,1.62714
STR_057_199502,12.6142,0.758827,10.3608,15.2921,13.373,11.8553,9.50645,0.0362568,9.43,9.611,9.5427,9.47019,0.749833
STR_057_199503,27.2471,0.836975,24.8004,29.455,28.0841,26.4102,17.1083,0.105573,16.91,17.3,17.2139,17.0028,7.50036
STR_057_199504,25.1966,0.813103,22.7697,28.3689,26.0097,24.3835,4.59032,0.0324101,4.514,4.677,4.62273,4.55791,18.0927
STR_057_199505,63.0277,0.852751,60.554,66.0358,63.8804,62.1749,32.1708,0.0725366,32.05,32.77,32.2433,32.0983,27.784
STR_057_199506,146.454,0.831091,144.312,148.922,147.285,145.623,195.074,0.1465,194.7,195.4,195.22,194.928,45.7783
STR_057_199507,94.5023,0.853438,92.3918,96.8637,95.3557,93.6488,46.9485,0.0449758,46.78,47.04,46.9935,46.9035,45.3518
STR_057_199510,12.6479,0.821616,10.6016,14.5997,13.4695,11.8263,7.31882,0.00980937,7.294,7.346,7.32863,7.30901,3.25555
STR_057_199511,8.21301,0.796827,5.54429,10.5875,9.00984,7.41618,2.62587,0.0109133,2.598,2.658,2.63679,2.61496,2.88629
STR_057_199512,7.29892,0.770482,4.79285,9.59345,8.06941,6.52844,4.57808,0.00950847,4.554,4.61,4.58759,4.56857,0.182847
STR_057_199603,7.94486,0.793251,5.79185,10.1459,8.73811,7.15161,4.09159,0.0282528,4.039,4.233,4.11984,4.06334,1.55885
STR_057_199604,17.4632,0.787717,15.4156,19.6011,18.2509,16.6754,11.8195,0.0345983,11.78,11.98,11.8541,11.7849,3.4356
STR_057_199605,60.6521,0.810091,57.5054,63.2041,61.4622,59.8421,78.6314,0.25925,78.34,79.36,78.8907,78.3721,15.1359
STR_057_199606,33.726,0.862736,31.3594,36.166,34.5887,32.8632,21.4066,0.0432371,21.29,21.48,21.4498,21.3633,9.87942
STR_057_199608,6.26652,0.833234,3.70862,9.28745,7.09975,5.43329,26.0985,0.0167965,26.06,26.14,26.1153,26.0817,16.7726
STR_057_199609,10.4364,0.793509,8.17387,12.3984,11.2299,9.64288,26.8619,0.0166565,26.83,26.91,26.8785,26.8452,14.4316
STR_057_199610,15.7388,0.766194,13.5152,18.2168,16.505,14.9726,32.1763,0.0284724,32.09,32.26,32.2048,32.1478,13.8732
STR_057_199701,9.96383,0.795209,7.18859,12.1964,10.759,9.16862,12.5431,0.102921,12.32,12.88,12.646,12.4402,0.123643
STR_057_199702,10.5995,0.760457,8.3732,12.6892,11.3599,9.83901,6.18332,0.0817216,6.019,6.506,6.26504,6.1016,1.8672
STR_057_199703,28.9408,0.783798,26.8114,30.7946,29.7246,28.157,26.4091,0.18751,26.06,26.79,26.5966,26.2216,0.0214266
STR_057_199704,36.7472,0.862827,34.4676,39.2984,37.61,35.8844,12.104,0.126218,11.89,12.48,12.2302,11.9778,21.9876
STR_057_199705,101.155,0.803293,98.1769,103.039,101.958,100.352,107.553,0.180733,107.3,108,107.734,107.373,4.26106
STR_057_199706,138.242,0.794512,135.76,140.284,139.036,137.447,102.443,0.306543,101.9,103.3,102.75,102.137,32.4596
STR_057_199707,51.0417,0.885355,48.0624,53.8043,51.9271,50.1563,31.3831,0.135237,31.14,31.55,31.5184,31.2479,16.5124
STR_057_199708,38.2852,0.790209,36.3387,41.2023,39.0754,37.495,34.881,0.025518,34.75,34.93,34.9065,34.8555,1.40867
STR_057_199709,37.5514,0.791662,35.2005,39.5218,38.3431,36.7597,53.253,0.0271463,53.09,53.3,53.2802,53.2259,13.5682
STR_057_199710,25.9881,0.745449,23.98,28.1907,26.7335,25.2426,7.71622,0.0174677,7.659,7.781,7.73369,7.69875,16.199
STR_057_199711,11.5182,0.822228,9.29717,14.668,12.3405,10.696,4.76259,0.0132211,4.725,4.797,4.77581,4.74937,4.50017
STR_057_199803,13.5744,0.81732,11.3088,15.6856,14.3918,12.7571,9.83936,0.0626933,9.702,9.962,9.90206,9.77667,1.34679
STR_057_199804,22.2066,0.756165,20.4415,24.3684,22.9628,21.4504,8.13761,0.0314547,8.074,8.235,8.16906,8.10616,12.2065
STR_057_199805,68.1767,0.829177,66.0177,70.6084,69.0059,67.3476,57.9634,0.0218309,57.8,58.05,57.9852,57.9415,7.96769
STR_057_199806,63.0844,0.867177,60.7977,65.1185,63.9515,62.2172,41.9494,0.0774079,41.56,42.01,42.0268,41.872,18.7877
STR_057_199807,36.9495,0.850504,34.446,39.4479,37.8,36.099,23.0484,0.0224204,22.99,23.1,23.0708,23.0259,11.346
STR_057_199808,16.4487,0.849935,14.3917,18.6841,17.2986,15.5988,21.943,0.0228811,21.89,21.99,21.9659,21.9202,3.2059
STR_057_199809,12.306,0.805991,10.4757,15.4974,13.1119,11.5,24.158,0.0144231,24.1,24.19,24.1724,24.1436,8.6026
STR_057_199811,15.6442,0.772982,13.4021,17.6008,16.4172,14.8712,9.42355,0.0181541,9.38,9.457,9.44171,9.4054,3.94512
STR_057_199812,11.6138,0.81362,9.12823,13.8492,12.4274,10.8002,4.18913,0.0152658,4.147,4.232,4.2044,4.17386,4.89623
STR_057_199901,8.60134,0.79579,6.49799,11.1205,9.39713,7.80555,6.2373,0.0198021,6.196,6.291,6.25711,6.2175,0.206994
STR_057_199902,7.39996,0.813328,5.21789,9.57766,8.21329,6.58663,4.98505,0.0178628,4.951,5.059,5.00292,4.96719,0.158891
STR_057_199903,9.43554,0.840273,7.53218,12.0905,10.2758,8.59527,2.6513,0.0181242,2.608,2.716,2.66943,2.63318,4.81618
STR_057_199904,21.9013,0.769831,19.8374,24.0454,22.6712,21.1315,8.32792,0.0398342,8.238,8.416,8.36776,8.28809,11.4214
STR_057_199905,64.8969,0.827669,62.4643,67.4262,65.7245,64.0692,81.3598,0.0384866,81.27,81.47,81.3983,81.3213,13.8438
STR_057_199907,59.161,0.827362,56.5144,61.2709,59.9884,58.3337,39.0492,0.0403203,38.97,39.21,39.0895,39.0088,17.3044
